# ENGINE LADDER - identical build, engine count is the ONLY difference
# opponent=mauler seconds=20 timeScale=3 reps=3
#
# eng  parts cost  capKJ ceilKW motorKW maxRate | windUp peakRate peakDemand strained flatAt  dealt
  0      17   811    240    8.0    1.00    73.5 |   2.10     73.5        2.9    False   -1.0      0
  0      17   811    240    8.0    1.00    73.5 |   2.22     73.5        2.9    False   -1.0    210
  0      17   811    240    8.0    1.00    73.5 |   2.37     73.5        2.9    False   -1.0      0
  1      18   917    300   22.0    2.50    73.5 |   1.34     73.5        7.1    False   -1.0      0
  1      18   917    300   22.0    2.50    73.5 |   1.40     73.5        7.1    False   -1.0      0
  1      18   917    300   22.0    2.50    73.5 |   1.29     73.5        7.1    False   -1.0      0
  2      19  1023    360   36.0    4.00    73.5 |   1.10     73.5       11.4    False   -1.0      0
  2      19  1023    360   36.0    4.00    73.5 |   1.11     73.5       11.4    False   -1.0      0
  2      19  1023    360   36.0    4.00    73.5 |   1.10     73.5       11.4    False   -1.0    185
  3      20  1129    420   50.0    5.50    73.5 |   1.02     73.5       15.7    False   -1.0      0
  3      20  1129    420   50.0    5.50    73.5 |   1.04     73.5       15.7    False   -1.0      0
  3      20  1129    420   50.0    5.50    73.5 |   0.89     73.5       15.7    False   -1.0      0
#
# ---- damage per engine count ----
# eng 0: n=3 median=0 mean=70  [0, 0, 210]
# eng 1: n=3 median=0 mean=0  [0, 0, 0]
# eng 2: n=3 median=0 mean=62  [0, 0, 185]
# eng 3: n=3 median=0 mean=0  [0, 0, 0]
# engine ladder complete
