build,opp,tier,policy,run,outcome,elapsed,dealt,taken,pPartsNow,pStart,ePartsNow,eStart,pFlipS,pStruct,eStruct,pKJ,pCap,pFlat,eFlat,maxRate,drives,cause
qa_r1_b1_maul_ti,mauler,Veteran,charge,0,PlayerLoss,66.5,310,104,12,12,10,11,0.0,1.00,0.91,0,300,True,False,7.16,32,"Counted out — out of power — all 300 kJ spent in 57 s; carry more battery, or spend less on driving and spinning"
qa_r1_b1_maul_ti,mauler,Veteran,charge,1,PlayerWin,90.0,567,320,11,12,5,11,1.4,0.92,0.45,0,300,True,False,9.14,38,"Judges' decision — damage 567 vs 320 (43.5% margin) · pieces 11/12 vs 5/11 — decided on damage"
qa_r1_b1_maul_ti,mauler,Veteran,charge,2,PlayerLoss,86.1,451,154,12,12,6,11,0.8,1.00,0.55,0,300,True,False,7.16,32,"Counted out — out of power — all 300 kJ spent in 76 s; carry more battery, or spend less on driving and spinning"
qa_r1_b1_maul_ti,mauler,Veteran,charge,3,PlayerLoss,84.8,539,329,12,12,10,11,5.1,1.00,0.91,0,300,True,False,7.16,31,"Counted out — out of power — all 300 kJ spent in 75 s; carry more battery, or spend less on driving and spinning"
qa_r1_b2_vortex,mauler,Veteran,charge,0,PlayerWin,34.9,536,114,12,14,1,11,0.0,0.86,0.09,182,300,False,True,16.67,1,"Enemy counted out — every one of its 4 wheels had been torn off — nothing left to drive with"
qa_r1_b2_vortex,mauler,Veteran,charge,1,PlayerWin,40.5,453,39,13,14,1,11,0.0,0.93,0.09,186,300,False,True,10.00,1,"Enemy counted out — every one of its 4 wheels had been torn off — nothing left to drive with"
qa_r1_b2_vortex,mauler,Veteran,charge,2,PlayerWin,34.9,504,52,12,14,1,11,0.0,0.86,0.09,186,300,False,True,16.67,1,"Enemy counted out — every one of its 4 wheels had been torn off — nothing left to drive with"
qa_r1_b2_vortex,mauler,Veteran,charge,3,PlayerWin,39.0,747,62,12,14,1,11,0.0,0.86,0.09,162,300,False,True,16.67,1,"Enemy counted out — every one of its 4 wheels had been torn off — nothing left to drive with"
qa_r1_b3_lance,mauler,Veteran,charge,0,PlayerLoss,90.0,219,404,10,12,10,11,2.9,0.83,0.91,42,300,False,False,3.50,91,"Judges' decision — damage 219 vs 404 (45.8% margin) · pieces 10/12 vs 10/11 — decided on damage"
qa_r1_b3_lance,mauler,Veteran,charge,1,PlayerLoss,90.0,149,272,11,12,10,11,5.9,0.92,0.91,0,300,True,False,3.50,88,"Judges' decision — damage 149 vs 272 (45.3% margin) · pieces 11/12 vs 10/11 — decided on damage"
qa_r1_b3_lance,mauler,Veteran,charge,2,PlayerLoss,90.0,345,474,7,12,10,11,2.0,0.58,0.91,24,240,False,False,3.50,88,"Judges' decision — damage 345 vs 474 (27.2% margin) · pieces 7/12 vs 10/11 — decided on damage"
qa_r1_b3_lance,mauler,Veteran,charge,3,PlayerLoss,90.0,77,274,11,12,10,11,5.9,0.92,0.91,0,300,True,False,3.50,82,"Judges' decision — damage 77 vs 274 (72.0% margin) · pieces 11/12 vs 10/11 — decided on damage"
qa_r1_b4_plough,mauler,Veteran,charge,0,PlayerLoss,81.9,11,284,12,13,10,11,6.2,0.92,0.91,0,60,True,False,5.57,15,"Counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 72 s"
qa_r1_b4_plough,mauler,Veteran,charge,1,PlayerLoss,47.1,11,164,12,13,10,11,6.9,0.92,0.91,0,60,True,False,5.57,12,"Counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 37 s"
qa_r1_b4_plough,mauler,Veteran,charge,2,PlayerLoss,42.8,59,249,12,13,10,11,8.4,0.92,0.91,0,60,True,False,5.57,10,"Counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 33 s"
qa_r1_b4_plough,mauler,Veteran,charge,3,PlayerLoss,45.6,0,73,12,13,10,11,4.1,0.92,0.91,0,60,True,False,5.57,10,"Counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 36 s"
qa_r1_b5_discus,mauler,Veteran,charge,0,PlayerLoss,71.1,661,188,11,11,5,11,0.0,1.00,0.45,0,300,True,False,0.00,0,"Counted out — out of power — all 300 kJ spent in 61 s; carry more battery, or spend less on driving and spinning"
qa_r1_b5_discus,mauler,Veteran,charge,1,PlayerWin,56.8,534,220,11,11,2,11,0.0,1.00,0.18,0,300,True,False,0.00,0,"Enemy counted out — every one of its 4 wheels had been torn off — nothing left to drive with"
qa_r1_b5_discus,mauler,Veteran,charge,2,PlayerWin,43.2,780,124,11,11,4,11,0.0,1.00,0.36,0,300,True,False,0.00,0,"Enemy counted out — every one of its 4 wheels had been torn off — nothing left to drive with"
qa_r1_b5_discus,mauler,Veteran,charge,3,PlayerWin,26.4,717,162,11,11,0,11,0.0,1.00,0.00,131,300,False,True,0.00,0,"KO — enemy core destroyed"
qa_r1_b6_maul_abs,mauler,Veteran,charge,0,PlayerWin,69.1,402,213,11,12,1,11,0.3,0.92,0.09,146,300,False,True,14.00,50,"Enemy counted out — every one of its 4 wheels had been torn off — nothing left to drive with"
qa_r1_b6_maul_abs,mauler,Veteran,charge,1,PlayerWin,90.0,361,168,11,12,7,11,0.0,0.92,0.64,90,300,False,False,14.00,65,"Judges' decision — damage 361 vs 168 (53.4% margin) · pieces 11/12 vs 7/11 — decided on damage"
