build,opp,tier,policy,run,outcome,elapsed,dealt,taken,pParts,pStart,eParts,eStart,pFlipS,eFlipS,pStruct,eStruct,pKJ,pCap,eKJ,eCap,pFlat,eFlat,maxRate,drives,cause
qa_r1_b1_maul_ti,mauler,Veteran,afk,0,PlayerLoss,90.0,70,312,11,12,10,11,1.7,0.9,0.92,0.91,97,300,127,300,False,False,9.14,56,"Judges' decision — damage 70 vs 312 (77.7% margin) · pieces 11/12 vs 10/11 — decided on damage"
qa_r1_b1_maul_ti,mauler,Veteran,afk,1,PlayerWin,90.0,342,337,11,12,9,11,0.0,0.0,0.92,0.82,113,300,131,300,False,False,9.14,58,"Judges' decision — damage 342 vs 337 (1.6% margin) · pieces 11/12 vs 9/11 — damage inside the draw band, decided on structure retained"
qa_r1_b1_maul_ti,mauler,Veteran,afk,2,PlayerLoss,90.0,114,275,11,12,10,11,0.0,0.0,0.92,0.91,116,300,134,300,False,False,9.14,58,"Judges' decision — damage 114 vs 275 (58.4% margin) · pieces 11/12 vs 10/11 — decided on damage"
qa_r1_b1_maul_ti,mauler,Veteran,afk,3,PlayerLoss,90.0,318,348,12,12,10,11,1.1,0.0,1.00,0.91,84,300,133,300,False,False,7.16,54,"Judges' decision — damage 318 vs 348 (8.6% margin) · pieces 12/12 vs 10/11 — decided on damage"
qa_r1_b2_vortex,mauler,Veteran,afk,0,PlayerWin,54.4,315,81,13,14,1,11,0.0,3.2,0.93,0.09,264,300,0,0,False,True,10.00,1,"Enemy counted out — every one of its 4 wheels had been torn off — nothing left to drive with"
qa_r1_b2_vortex,mauler,Veteran,afk,1,PlayerWin,53.1,466,0,14,14,1,11,0.0,0.0,1.00,0.09,264,300,0,0,False,True,10.00,1,"Enemy counted out — every one of its 4 wheels had been torn off — nothing left to drive with"
qa_r1_b2_vortex,mauler,Veteran,afk,2,PlayerWin,66.0,420,41,13,14,4,11,0.0,0.7,0.93,0.36,262,300,0,0,False,True,10.00,1,"Enemy counted out — out of power — 300 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 56 s"
qa_r1_b2_vortex,mauler,Veteran,afk,3,PlayerWin,50.2,326,2,14,14,4,11,0.0,0.0,1.00,0.36,266,300,0,0,False,True,10.00,1,"Enemy counted out — out of power — 300 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 40 s"
qa_r1_b5_discus,mauler,Veteran,afk,0,PlayerLoss,90.0,0,512,10,11,10,11,0.0,0.0,0.91,0.91,225,300,149,300,False,False,0.00,0,"Judges' decision — damage 0 vs 512 (100.0% margin) · pieces 10/11 vs 10/11 — decided on damage"
qa_r1_b5_discus,mauler,Veteran,afk,1,PlayerWin,90.0,293,194,11,11,7,11,0.0,0.0,1.00,0.64,215,300,161,300,False,False,0.00,0,"Judges' decision — damage 293 vs 194 (33.8% margin) · pieces 11/11 vs 7/11 — decided on damage"
