label,opp,tier,policy,run,outcome,elapsed,pDealt,eDealt,pParts,pStart,eParts,eStart,pMass,eMass,pMaxHp,eMaxHp,pCap0,pE30,pEnd,pFlatS,pStrainS,pCapEnd,eCap0,eE30,eEnd,eFlatS,eStrainS,eCapEnd,worstP,worstE,ts,cause
P_ABS,mauler,Veteran,charge,0,PlayerLoss,90.0,226.1,231.0,5,11,10,11,451.6,694.1,643.6,864.1,300.0,257.5,188.0,0.0,0.0,240.0,300.0,239.5,127.2,0.0,0.0,300.0,1,1,3.0,"Judges' decision — damage 226 vs 231 (2.1% margin) · pieces 5/11 vs 10/11 — damage inside the draw band; decided on structure retained"
P_ABS,bulwark,Champion,charge,0,PlayerWin,69.3,78.8,76.0,9,11,13,13,451.6,1889.5,643.6,1491.4,300.0,260.8,212.0,0.0,0.0,300.0,300.0,119.7,0.0,13.2,0.0,300.0,1,0,3.0,"Enemy counted out — out of power — all 300 kJ spent in 59 s; carry more battery; or spend less on driving and spinning"
P_ABS,scout,Rookie,charge,0,PlayerWin,74.7,96.4,80.7,9,11,9,11,451.6,406.2,643.6,652.3,300.0,257.8,202.3,0.0,0.0,300.0,300.0,267.4,214.4,0.0,0.0,300.0,1,1,3.0,"Enemy counted out — flipped onto its back — its gyro had already been sheared off; leaving only the slow emergency struts"
P_ABS,tipper,Rookie,charge,0,PlayerWin,25.5,21.0,1.0,9,11,9,12,451.6,774.8,643.6,969.4,300.0,-1.0,266.0,0.0,0.0,300.0,300.0,-1.0,16.9,0.0,0.0,60.0,1,1,3.0,"Enemy counted out — flipped onto its back — the emergency struts could not roll a hull this shape back over; a gyro rights you in under a second"
P_ABS,widowmaker,Champion,charge,0,PlayerLoss,6.6,111.9,385.3,0,11,11,11,451.6,587.0,643.6,1301.2,300.0,-1.0,0.0,0.0,0.0,0.0,300.0,-1.0,252.2,0.0,0.0,300.0,5,0,3.0,"KO — your core was destroyed"
P_TITAN,mauler,Veteran,charge,0,PlayerWin,90.3,121.0,131.8,13,13,10,11,1142.5,694.1,2045.5,864.1,300.0,178.9,0.0,15.3,0.0,300.0,300.0,243.9,133.2,0.0,0.0,300.0,0,1,3.0,"Judges' decision — damage 121 vs 132 (8.2% margin) · pieces 13/13 vs 10/11 — damage inside the draw band; decided on structure retained"
P_TITAN,bulwark,Champion,charge,0,PlayerWin,68.4,151.9,139.9,13,13,11,13,1142.5,1889.5,2045.5,1491.4,300.0,180.1,26.6,0.0,0.0,300.0,300.0,121.2,0.0,16.4,0.0,60.0,0,1,3.0,"Enemy counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis; and what was left ran dry after 59 s"
P_TITAN,scout,Rookie,charge,0,PlayerWin,44.4,92.0,62.8,13,13,9,11,1142.5,406.2,2045.5,652.3,300.0,179.0,122.6,0.0,0.0,300.0,300.0,268.3,251.9,0.0,0.0,300.0,0,1,3.0,"Enemy counted out — flipped onto its back — its gyro had already been sheared off; leaving only the slow emergency struts"
P_TITAN,tipper,Rookie,charge,0,PlayerWin,62.7,114.0,28.4,13,13,8,12,1142.5,774.8,2045.5,969.4,300.0,180.1,49.3,0.0,0.0,300.0,300.0,14.3,0.0,20.1,0.0,60.0,0,1,3.0,"Enemy counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis; and what was left ran dry after 53 s"
P_TITAN,widowmaker,Champion,charge,0,PlayerLoss,69.0,153.8,2014.3,1,13,10,11,1142.5,587.0,2045.5,1301.2,300.0,188.2,0.0,12.7,0.0,0.0,300.0,152.5,57.8,0.0,0.0,300.0,2,1,3.0,"Counted out — flipped onto its back — its gyro had already been sheared off; leaving only the slow emergency struts"
P_CFSAW,mauler,Veteran,charge,0,PlayerWin,90.3,304.3,64.8,11,11,7,11,525.3,694.1,1294.1,864.1,300.0,207.8,50.8,0.0,0.0,300.0,300.0,241.6,145.8,0.0,0.0,300.0,0,1,3.0,"Judges' decision — damage 304 vs 65 (78.7% margin) · pieces 11/11 vs 7/11 — decided on damage"
P_CFSAW,bulwark,Champion,charge,0,PlayerWin,64.8,776.1,328.8,10,11,9,13,525.3,1889.5,1294.1,1491.4,300.0,200.3,111.0,0.0,0.0,300.0,300.0,131.3,0.0,15.0,0.0,0.0,1,2,3.0,"Enemy counted out — out of power — 300 kJ of its 300 kJ pack was torn off the chassis; and what was left ran dry after 55 s"
P_CFSAW,scout,Rookie,charge,0,PlayerWin,2.1,163.1,40.5,11,11,0,11,525.3,406.2,1294.1,652.3,300.0,-1.0,290.1,0.0,0.0,300.0,300.0,-1.0,0.0,0.0,0.0,0.0,0,7,3.0,"KO — enemy core destroyed"
P_CFSAW,tipper,Rookie,charge,0,PlayerWin,6.6,396.3,81.0,10,11,0,12,525.3,774.8,1294.1,969.4,300.0,-1.0,266.5,0.0,0.0,300.0,300.0,-1.0,0.0,0.0,0.0,0.0,1,7,3.0,"KO — enemy core destroyed"
P_CFSAW,widowmaker,Champion,charge,0,PlayerLoss,27.3,147.6,1358.9,0,11,11,11,525.3,587.0,1294.1,1301.2,300.0,-1.0,0.0,1.3,0.0,0.0,300.0,-1.0,165.4,0.0,0.0,300.0,4,0,3.0,"KO — your core was destroyed"
P_TUNGSPIN,mauler,Veteran,charge,0,PlayerLoss,86.7,140.2,84.6,12,12,10,11,1750.7,694.1,1363.7,864.1,540.0,311.8,0.0,11.8,0.0,540.0,300.0,242.0,134.7,0.0,0.0,300.0,0,1,3.0,"Counted out — out of power — all 540 kJ spent in 77 s; carry more battery; or spend less on driving and spinning"
P_TUNGSPIN,bulwark,Champion,charge,0,PlayerWin,68.7,303.0,298.4,10,12,12,13,1750.7,1889.5,1363.7,1491.4,540.0,310.7,48.1,0.0,0.0,300.0,300.0,124.9,0.0,14.7,0.0,300.0,1,1,3.0,"Enemy counted out — out of power — all 300 kJ spent in 59 s; carry more battery; or spend less on driving and spinning"
P_TUNGSPIN,scout,Rookie,charge,0,PlayerWin,45.0,148.4,94.3,12,12,9,11,1750.7,406.2,1363.7,652.3,540.0,308.5,206.4,0.0,0.0,540.0,300.0,268.6,251.5,0.0,0.0,300.0,0,1,3.0,"Enemy counted out — flipped onto its back — its gyro had already been sheared off; leaving only the slow emergency struts"
P_TUNGSPIN,tipper,Rookie,charge,0,PlayerWin,24.3,99.8,16.2,12,12,9,12,1750.7,774.8,1363.7,969.4,540.0,-1.0,350.2,0.0,0.0,540.0,300.0,-1.0,19.0,0.0,0.0,60.0,0,1,3.0,"Enemy counted out — flipped onto its back — the emergency struts could not roll a hull this shape back over; a gyro rights you in under a second"
P_TUNGSPIN,widowmaker,Champion,charge,0,PlayerLoss,40.2,35.8,404.9,0,12,11,11,1750.7,587.0,1363.7,1301.2,540.0,310.9,0.0,0.0,0.0,0.0,300.0,193.9,168.8,0.0,0.0,300.0,8,0,3.0,"KO — your core was destroyed"
P_TALL,mauler,Veteran,charge,0,PlayerLoss,50.1,267.4,266.8,11,12,10,11,1790.7,694.1,1455.1,864.1,300.0,0.0,0.0,23.8,0.0,60.0,300.0,239.9,202.6,0.0,0.0,300.0,1,1,3.0,"Counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis; and what was left ran dry after 40 s"
P_TALL,bulwark,Champion,charge,0,PlayerLoss,14.7,40.5,40.5,11,12,13,13,1790.7,1889.5,1455.1,1491.4,300.0,-1.0,0.0,0.9,0.0,60.0,300.0,-1.0,218.8,0.0,0.0,300.0,1,0,3.0,"Counted out — beached — 0 of 4 wheels touching the ground; so the drive had nothing to push on"
P_TALL,scout,Rookie,charge,0,PlayerWin,57.6,121.5,131.2,12,12,9,11,1790.7,406.2,1455.1,652.3,300.0,112.1,0.0,9.7,0.0,300.0,300.0,269.8,240.8,0.0,0.0,300.0,0,1,3.0,"Enemy counted out — flipped onto its back — its gyro had already been sheared off; leaving only the slow emergency struts"
P_TALL,tipper,Rookie,charge,0,PlayerWin,19.5,0.0,0.0,12,12,11,12,1790.7,774.8,1455.1,969.4,300.0,-1.0,177.9,0.0,0.0,300.0,300.0,-1.0,24.3,0.0,0.0,60.0,0,1,3.0,"Enemy counted out — beached — 0 of 4 wheels touching the ground; so the drive had nothing to push on"
P_TALL,widowmaker,Champion,charge,0,PlayerLoss,13.2,19.5,245.5,0,12,10,11,1790.7,587.0,1455.1,1301.2,300.0,-1.0,0.0,0.0,0.0,0.0,300.0,-1.0,246.0,0.0,0.0,300.0,8,1,3.0,"KO — your core was destroyed"
P_E1,mauler,Veteran,charge,0,PlayerLoss,71.1,141.0,116.3,10,11,10,11,1654.0,694.1,1311.4,864.1,300.0,129.9,0.0,18.1,0.0,300.0,300.0,244.8,169.1,0.0,0.0,300.0,1,1,3.0,"Counted out — out of power — all 300 kJ spent in 61 s; carry more battery; or spend less on driving and spinning"
P_E1,bulwark,Champion,charge,0,PlayerWin,65.1,337.3,355.6,9,11,12,13,1654.0,1889.5,1311.4,1491.4,300.0,11.6,0.0,33.0,0.0,60.0,300.0,117.4,0.0,13.6,0.0,300.0,1,1,3.0,"Enemy counted out — out of power — all 300 kJ spent in 55 s; carry more battery; or spend less on driving and spinning"
P_E1,scout,Rookie,charge,0,PlayerWin,61.2,21.2,10.5,11,11,9,11,1654.0,406.2,1311.4,652.3,300.0,126.4,0.0,9.4,0.0,300.0,300.0,272.1,241.3,0.0,0.0,300.0,0,1,3.0,"Enemy counted out — flipped onto its back — its gyro had already been sheared off; leaving only the slow emergency struts"
P_E1,tipper,Rookie,charge,0,PlayerWin,30.0,24.1,20.1,10,11,9,12,1654.0,774.8,1311.4,969.4,300.0,-1.0,129.9,0.0,0.0,300.0,300.0,-1.0,22.8,0.0,0.0,60.0,1,1,3.0,"Enemy counted out — flipped onto its back — the emergency struts could not roll a hull this shape back over; a gyro rights you in under a second"
P_E1,widowmaker,Champion,charge,0,PlayerLoss,40.2,160.9,1296.7,0,11,11,11,1654.0,587.0,1311.4,1301.2,300.0,149.0,0.0,5.5,0.0,0.0,300.0,175.3,135.8,0.0,0.0,300.0,3,0,3.0,"KO — your core was destroyed"
P_E3,mauler,Veteran,charge,0,PlayerWin,90.0,310.4,276.0,11,13,10,11,1738.4,694.1,1423.9,864.1,780.0,601.1,245.6,0.0,0.0,540.0,300.0,241.0,131.3,0.0,0.0,300.0,1,1,3.0,"Judges' decision — damage 310 vs 276 (11.1% margin) · pieces 11/13 vs 10/11 — decided on damage"
P_E3,bulwark,Champion,charge,0,PlayerWin,70.8,198.3,209.1,12,13,12,13,1738.4,1889.5,1423.9,1491.4,780.0,598.3,357.1,0.0,0.0,780.0,300.0,119.8,0.0,13.8,0.0,300.0,1,1,3.0,"Enemy counted out — out of power — all 300 kJ spent in 61 s; carry more battery; or spend less on driving and spinning"
P_E3,scout,Rookie,charge,0,PlayerWin,62.7,100.0,95.6,11,13,6,11,1738.4,406.2,1423.9,652.3,780.0,601.1,409.6,0.0,0.0,540.0,300.0,270.1,240.4,0.0,0.0,300.0,1,1,3.0,"Enemy counted out — flipped onto its back — its gyro had already been sheared off; leaving only the slow emergency struts"
P_E3,tipper,Rookie,charge,0,PlayerWin,30.0,39.0,34.7,12,13,10,12,1738.4,774.8,1423.9,969.4,780.0,-1.0,601.1,0.0,0.0,780.0,300.0,-1.0,25.0,0.0,0.0,60.0,1,1,3.0,"Enemy counted out — flipped onto its back — the emergency struts could not roll a hull this shape back over; a gyro rights you in under a second"
P_E3,widowmaker,Champion,charge,0,PlayerLoss,40.8,49.5,1083.0,0,13,11,11,1738.4,587.0,1423.9,1301.2,780.0,597.7,0.0,0.0,0.0,0.0,300.0,207.9,151.0,0.0,0.0,300.0,5,0,3.0,"KO — your core was destroyed"
P_ABS,mauler,Rookie,charge,0,PlayerLoss,49.2,155.8,147.7,9,11,10,11,451.6,694.1,643.6,864.1,300.0,259.1,235.5,0.0,0.0,300.0,300.0,246.3,213.0,0.0,0.0,300.0,1,1,3.0,"Counted out — flipped onto its back — its gyro had already been sheared off; leaving only the slow emergency struts"
P_ABS,mauler,Rookie,charge,1,PlayerLoss,90.3,188.3,180.2,9,11,10,11,451.6,694.1,643.6,864.1,300.0,257.7,181.0,0.0,0.0,300.0,300.0,250.6,149.6,0.0,0.0,300.0,1,1,3.0,"Judges' decision — damage 188 vs 180 (4.3% margin) · pieces 9/11 vs 10/11 — damage inside the draw band; decided on structure retained"
P_ABS,mauler,Rookie,charge,2,PlayerLoss,80.1,162.0,154.4,5,11,10,11,451.6,694.1,643.6,864.1,300.0,261.3,51.5,0.0,0.0,60.0,300.0,249.5,169.1,0.0,0.0,300.0,1,1,3.0,"Counted out — flipped onto its back — its gyro had already been sheared off; leaving only the slow emergency struts"
P_ABS,mauler,Rookie,charge,3,PlayerLoss,66.9,89.5,82.3,9,11,10,11,451.6,694.1,643.6,864.1,300.0,258.1,209.1,0.0,0.0,300.0,300.0,252.5,191.8,0.0,0.0,300.0,1,1,3.0,"Counted out — beached — 0 of 4 wheels touching the ground; so the drive had nothing to push on"
