label,opp,tier,policy,run,outcome,elapsed,pDealt,eDealt,pParts,pStart,eParts,eStart,pMass,eMass,pMaxHp,eMaxHp,pCap0,pE30,pEnd,pFlatS,pStrainS,pCapEnd,eCap0,eE30,eEnd,eFlatS,eStrainS,eCapEnd,worstP,worstE,ts,cause
P_E1,mauler,Veteran,charge,0,PlayerLoss,83.1,193.5,308.4,9,11,10,11,1654.0,694.1,1311.4,864.1,300.0,129.9,0.0,30.1,0.0,60.0,300.0,244.3,137.5,0.0,0.0,300.0,1,1,1.0,"Counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis; and what was left ran dry after 73 s"
P_E1,mauler,Veteran,charge,1,PlayerLoss,65.0,179.9,181.4,10,11,10,11,1654.0,694.1,1311.4,864.1,300.0,129.9,0.0,12.0,0.0,300.0,300.0,243.7,175.5,0.0,0.0,300.0,1,1,1.0,"Counted out — out of power — all 300 kJ spent in 55 s; carry more battery; or spend less on driving and spinning"
P_E1,mauler,Veteran,charge,2,PlayerLoss,77.5,148.6,173.1,10,11,10,11,1654.0,694.1,1311.4,864.1,300.0,129.4,0.0,24.5,0.0,300.0,300.0,246.0,150.3,0.0,0.0,300.0,1,1,1.0,"Counted out — out of power — all 300 kJ spent in 68 s; carry more battery; or spend less on driving and spinning"
P_E1,mauler,Veteran,charge,3,PlayerLoss,90.0,227.6,268.8,9,11,6,11,1654.0,694.1,1311.4,864.1,300.0,129.9,0.0,38.9,0.0,60.0,300.0,240.2,123.2,0.0,0.0,240.0,1,1,1.0,"Judges' decision — damage 228 vs 269 (15.3% margin) · pieces 9/11 vs 6/11 — decided on damage"
P_E3,mauler,Veteran,charge,0,Draw,90.1,178.2,184.5,12,13,10,11,1738.4,694.1,1423.9,864.1,780.0,601.1,243.2,0.0,0.0,780.0,300.0,244.8,130.2,0.0,0.0,300.0,1,1,1.0,"Judges' decision — damage 178 vs 184 (3.4% margin) · pieces 12/13 vs 10/11 — too close to call; scored a draw"
P_E3,mauler,Veteran,charge,1,PlayerWin,84.6,36.4,36.4,12,13,9,11,1738.4,694.1,1423.9,864.1,780.0,601.1,276.0,0.0,0.0,780.0,300.0,246.5,0.0,11.9,0.0,60.0,1,1,1.0,"Enemy counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis; and what was left ran dry after 75 s"
P_E3,mauler,Veteran,charge,2,PlayerLoss,90.1,98.4,182.1,12,13,9,11,1738.4,694.1,1423.9,864.1,780.0,600.5,243.2,0.0,0.0,780.0,300.0,244.3,128.9,0.0,0.0,300.0,1,1,1.0,"Judges' decision — damage 98 vs 182 (46.0% margin) · pieces 12/13 vs 9/11 — decided on damage"
P_E3,mauler,Veteran,charge,3,PlayerLoss,90.1,179.1,227.8,11,13,10,11,1738.4,694.1,1423.9,864.1,780.0,510.2,161.8,0.0,0.0,540.0,300.0,242.0,130.2,0.0,0.0,300.0,1,1,1.0,"Judges' decision — damage 179 vs 228 (21.4% margin) · pieces 11/13 vs 10/11 — decided on damage"
P_E1,mauler,Veteran,afk,0,Draw,90.0,275.5,290.4,10,11,10,11,1654.0,694.1,1311.4,864.1,300.0,300.0,300.0,0.0,0.0,300.0,300.0,241.2,126.1,0.0,0.0,300.0,1,1,1.0,"Judges' decision — damage 275 vs 290 (5.1% margin) · pieces 10/11 vs 10/11 — too close to call; scored a draw"
P_E1,mauler,Veteran,afk,1,PlayerLoss,90.1,264.7,314.7,10,11,6,11,1654.0,694.1,1311.4,864.1,300.0,300.0,300.0,0.0,0.0,300.0,300.0,243.2,133.9,0.0,0.0,240.0,1,1,1.0,"Judges' decision — damage 265 vs 315 (15.9% margin) · pieces 10/11 vs 6/11 — decided on damage"
