# BATCH A ts1 jobs=27
# label,policy,opp,tier,outcome,elapsed,pDealt,pTaken,pParts,pHp,pStruct,eDealt,eTaken,eParts,eHp,eStruct,pFlatS,pLowS,pStrainS,pMinFrac,pKJ,eFlatS,eMinFrac,eKJ,pMass,eMass,pMaxHp,eMaxHp,spinT,avgThr,cause
RAM_STEEL,afk,mauler,Veteran,PlayerLoss,27.3,0,41,10/10,0.97,1.00,41,0,10/11,1.00,0.91,0.0,0.0,0.0,1.00,0,0.0,0.84,47,1617,694,1262,864,-1.00,0.00,"Counted out — flipped onto its back — the emergency struts could not roll a hull this shape back over; a gyro rights you in under a second"
RAM_STEEL,afk,scout,Rookie,PlayerLoss,90.1,0,74,10/10,0.94,1.00,74,0,9/11,1.00,0.82,0.0,0.0,0.0,1.00,0,0.0,0.67,98,1617,406,1262,652,-1.00,0.00,"Judges' decision — damage 0 vs 74 (100.0% margin) · pieces 10/10 vs 9/11 — decided on damage"
RAM_STEEL,afk,widowmaker,Champion,PlayerLoss,33.1,0,1353,0/10,0.00,0.00,1353,0,11/11,1.00,1.00,0.0,0.0,0.0,1.00,0,0.0,0.56,133,1617,587,1262,1301,-1.00,0.00,"KO — your core was destroyed"
RAM_STEEL,charge,mauler,Veteran,PlayerLoss,76.9,114,197,10/10,0.84,1.00,197,114,10/11,0.85,0.91,15.6,27.1,0.0,0.00,300,0.0,0.52,144,1617,694,1262,864,-1.00,0.82,"Counted out — out of power — all 300 kJ spent in 67 s; carry more battery, or spend less on driving and spinning"
RAM_STEEL,charge,scout,Rookie,PlayerWin,50.2,253,37,10/10,0.97,1.00,37,253,9/11,0.50,0.82,0.0,1.1,0.0,0.16,251,0.0,0.81,56,1617,406,1262,652,-1.00,0.88,"Enemy counted out — beached — 0 of 4 wheels touching the ground, so the drive had nothing to push on"
RAM_STEEL,charge,widowmaker,Champion,PlayerLoss,31.7,81,1284,0/10,0.00,0.00,1284,81,10/11,0.94,0.91,0.0,0.0,0.0,0.64,109,0.0,0.56,133,1617,587,1262,1301,-1.00,0.84,"KO — your core was destroyed"
RAM_STEEL,chargenorev,mauler,Veteran,PlayerLoss,68.7,156,252,9/10,0.79,0.90,252,156,10/11,0.80,0.91,18.5,20.4,0.0,0.00,283,0.0,0.55,135,1617,694,1262,864,-1.00,1.00,"Counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 59 s"
RAM_STEEL,chargenorev,scout,Rookie,PlayerLoss,21.6,48,45,10/10,0.96,1.00,45,48,10/11,0.91,0.91,0.0,0.0,0.0,0.59,122,0.0,0.93,22,1617,406,1262,652,-1.00,1.00,"Counted out — beached — 0 of 4 wheels touching the ground, so the drive had nothing to push on"
RAM_STEEL,chargenorev,widowmaker,Champion,PlayerLoss,81.5,33,1365,2/10,0.66,0.20,1365,33,11/11,0.97,1.00,27.6,38.0,0.0,0.00,300,0.0,0.10,270,1617,587,1262,1301,-1.00,1.00,"Counted out — flipped onto its back — the emergency struts could not roll a hull this shape back over; a gyro rights you in under a second"
SPIN_ALU,afk,mauler,Veteran,PlayerLoss,90.1,183,226,10/10,0.81,1.00,226,183,10/11,0.76,0.91,0.0,0.0,0.0,0.95,16,0.0,0.41,176,1575,694,1216,864,0.90,0.00,"Judges' decision — damage 183 vs 226 (19.2% margin) · pieces 10/10 vs 10/11 — decided on damage"
