# section=bite opponent=mauler seconds=25 speed=3 fire=True reps=3 builds=13
# LIVE CONSTANTS  tipSpeedCap m/s: ABS=9.00 Aluminum=9.68 Steel=12.50 Titanium=14.79 CarbonFiber=13.11 Tungsten=13.69  | MotorKW 0/1/2/3 eng 1.0/2.5/4.0/5.5  | DRIVE_KW_PER_TONNE 1.25 | LIFT_EFFICIENCY 0.85 | REACTION_FRAC 0.60 | GROUND_CLEAR 0.020 | BITE_RATE_FRAC 0.45 | EXPOSED_MULT 1.75 | STEP_DISP_CAP 0.25
# LIVE CONSTANTS (cycle) WIND_RELEASE_FRAC 0.995 | WIND_TIMEOUT_S 2.00 | BITE_TIP_SPEED_MS 4.00 | RECOVER_S 0.10 | PIVOT_RETURN_DPS 500 | MIN_BITE_E 40 | DRAIN_FRAC 0.40 | LIN_IMP_CAP 600 | EFFICIENCY 0.35 | RECUP_FRAC 0.90 | REACTION_STALL_MUL 3.0
# LIVE CONSTANTS (damage/judging) DMG_K 0.045 | HP_K 6000 | SHOVE_CAP 500 | PART_IMMUNITY 0.50 | RAM_MIN_J 150 | RAM_J_CAP 900 | STRUCT_BAND 0.060 | MIN_STRUCT_PARTS 2.0 | DRAW_BAND_FRAC 0.080 | CONTROL_BAND 0.100 | MATCH_TIME 90 | CREDIT_BUDGET 4000
# SOURCE REGIME b3f9659c (41 scripts, newest 2026-07-27 15:12:21Z)
NOWEAP       r0 t=24s ended=TIMEBOX | dealt 62 taken 85 | ram 62/2 (31.2/bite) limb 0/0 (0.0/bite max 0) | pParts 13/13 eParts 11/11 | eDealt 85
NOWEAP       r1 t=24s ended=TIMEBOX | dealt 127 taken 123 | ram 142/14 (10.1/bite) limb 0/0 (0.0/bite max 0) | pParts 13/13 eParts 11/11 | eDealt 123
NOWEAP       r2 t=24s ended=TIMEBOX | dealt 76 taken 86 | ram 76/3 (25.4/bite) limb 0/0 (0.0/bite max 0) | pParts 11/13 eParts 11/11 | eDealt 86
FIXSPIKE     r0 t=24s ended=TIMEBOX | dealt 81 taken 153 | ram 81/5 (16.3/bite) limb 0/0 (0.0/bite max 0) | pParts 12/14 eParts 10/11 | eDealt 153
FIXSPIKE     r1 t=24s ended=TIMEBOX | dealt 84 taken 150 | ram 84/6 (14.0/bite) limb 0/0 (0.0/bite max 0) | pParts 12/14 eParts 11/11 | eDealt 150
FIXSPIKE     r2 t=24s ended=TIMEBOX | dealt 173 taken 101 | ram 173/6 (28.8/bite) limb 0/0 (0.0/bite max 0) | pParts 14/14 eParts 11/11 | eDealt 101
FIXDISC      r0 t=24s ended=TIMEBOX | dealt 80 taken 17 | ram 80/5 (15.9/bite) limb 0/0 (0.0/bite max 0) | pParts 14/14 eParts 11/11 | eDealt 17
FIXDISC      r1 t=24s ended=TIMEBOX | dealt 55 taken 24 | ram 55/3 (18.5/bite) limb 0/0 (0.0/bite max 0) | pParts 14/14 eParts 11/11 | eDealt 24
FIXDISC      r2 t=24s ended=TIMEBOX | dealt 95 taken 92 | ram 95/7 (13.6/bite) limb 0/0 (0.0/bite max 0) | pParts 11/14 eParts 10/11 | eDealt 92
DISC_Z       r0 t=24s ended=TIMEBOX | dealt 86 taken 136 | ram 86/6 (14.3/bite) limb 0/0 (0.0/bite max 0) | pParts 13/15 eParts 10/11 | eDealt 136
DISC_Z       r1 t=24s ended=TIMEBOX | dealt 109 taken 45 | ram 109/5 (21.8/bite) limb 0/0 (0.0/bite max 0) | pParts 15/15 eParts 11/11 | eDealt 45
DISC_Z       r2 t=24s ended=TIMEBOX | dealt 156 taken 145 | ram 156/15 (10.4/bite) limb 0/0 (0.0/bite max 0) | pParts 15/15 eParts 10/11 | eDealt 145
SAW_Z        r0 t=24s ended=TIMEBOX | dealt 210 taken 107 | ram 72/4 (18.1/bite) limb 138/2 (68.9/bite max 80) | pParts 12/15 eParts 10/11 | eDealt 107
SAW_Z        r1 t=24s ended=TIMEBOX | dealt 131 taken 88 | ram 131/7 (18.7/bite) limb 0/0 (0.0/bite max 0) | pParts 15/15 eParts 11/11 | eDealt 88
SAW_Z        r2 t=24s ended=TIMEBOX | dealt 424 taken 155 | ram 47/4 (11.9/bite) limb 377/8 (47.1/bite max 80) | pParts 13/15 eParts 10/11 | eDealt 155
COAX_V       r0 t=24s ended=TIMEBOX | dealt 112 taken 54 | ram 112/5 (22.4/bite) limb 0/0 (0.0/bite max 0) | pParts 13/15 eParts 11/11 | eDealt 54
COAX_V       r1 t=24s ended=TIMEBOX | dealt 180 taken 117 | ram 180/6 (29.9/bite) limb 0/0 (0.0/bite max 0) | pParts 15/15 eParts 11/11 | eDealt 117
COAX_V       r2 t=24s ended=TIMEBOX | dealt 100 taken 94 | ram 100/5 (19.9/bite) limb 0/0 (0.0/bite max 0) | pParts 13/15 eParts 11/11 | eDealt 94
SAW_V        r0 t=24s ended=TIMEBOX | dealt 15 taken 123 | ram 15/2 (7.7/bite) limb 0/0 (0.0/bite max 0) | pParts 13/15 eParts 10/11 | eDealt 123
SAW_V        r1 t=24s ended=TIMEBOX | dealt 30 taken 41 | ram 30/1 (30.4/bite) limb 0/0 (0.0/bite max 0) | pParts 13/15 eParts 11/11 | eDealt 41
SAW_V        r2 t=24s ended=TIMEBOX | dealt 81 taken 133 | ram 81/5 (16.2/bite) limb 0/0 (0.0/bite max 0) | pParts 15/15 eParts 11/11 | eDealt 133
FLAIL_V      r0 t=24s ended=TIMEBOX | dealt 80 taken 42 | ram 80/4 (20.0/bite) limb 0/0 (0.0/bite max 0) | pParts 13/15 eParts 11/11 | eDealt 42
FLAIL_V      r1 t=24s ended=TIMEBOX | dealt 204 taken 110 | ram 204/9 (22.7/bite) limb 0/0 (0.0/bite max 0) | pParts 15/15 eParts 10/11 | eDealt 110
FLAIL_V      r2 t=24s ended=TIMEBOX | dealt 50 taken 58 | ram 50/8 (6.3/bite) limb 0/0 (0.0/bite max 0) | pParts 13/15 eParts 11/11 | eDealt 58
DRUM_V       r0 t=24s ended=TIMEBOX | dealt 0 taken 0 | ram 0/0 (0.0/bite) limb 0/0 (0.0/bite max 0) | pParts 16/16 eParts 11/11 | eDealt 0
DRUM_V       r1 t=24s ended=TIMEBOX | dealt 325 taken 11 | ram 57/3 (18.9/bite) limb 268/7 (38.3/bite max 62) | pParts 16/16 eParts 11/11 | eDealt 11
DRUM_V       r2 t=24s ended=TIMEBOX | dealt 0 taken 0 | ram 0/0 (0.0/bite) limb 0/0 (0.0/bite max 0) | pParts 16/16 eParts 11/11 | eDealt 0
HAMMER       r0 t=24s ended=TIMEBOX | dealt 19 taken 70 | ram 19/1 (18.5/bite) limb 0/0 (0.0/bite max 0) | pParts 16/16 eParts 10/11 | eDealt 70
HAMMER       r1 t=24s ended=TIMEBOX | dealt 68 taken 85 | ram 68/3 (22.7/bite) limb 0/0 (0.0/bite max 0) | pParts 16/16 eParts 11/11 | eDealt 85
HAMMER       r2 t=24s ended=TIMEBOX | dealt 129 taken 72 | ram 129/8 (16.1/bite) limb 0/0 (0.0/bite max 0) | pParts 16/16 eParts 11/11 | eDealt 89
THRUSTER     r0 t=24s ended=TIMEBOX | dealt 81 taken 40 | ram 81/2 (40.5/bite) limb 0/0 (0.0/bite max 0) | pParts 11/15 eParts 11/11 | eDealt 40
THRUSTER     r1 t=24s ended=TIMEBOX | dealt 78 taken 63 | ram 78/7 (11.2/bite) limb 0/0 (0.0/bite max 0) | pParts 15/15 eParts 11/11 | eDealt 63
THRUSTER     r2 t=24s ended=TIMEBOX | dealt 112 taken 42 | ram 112/9 (12.4/bite) limb 0/0 (0.0/bite max 0) | pParts 15/15 eParts 11/11 | eDealt 42
FLIPPER      r0 t=24s ended=TIMEBOX | dealt 66 taken 101 | ram 66/9 (7.3/bite) limb 0/0 (0.0/bite max 0) | pParts 13/15 eParts 11/11 | eDealt 101
FLIPPER      r1 t=24s ended=TIMEBOX | dealt 139 taken 133 | ram 81/8 (10.2/bite) limb 57/5 (11.5/bite max 33) | pParts 13/15 eParts 10/11 | eDealt 133
