# DISC_Z extents along the machine's OWN DRIVE FORWARD (RollOf(0)), m from COM
# wheelCount=1 rollLocal=(0.00,0.00,1.00) fwdWorld=(0.78,0.00,0.62)
# angle(driveFwd, toEnemy) at spawn = 148 deg  (so the earlier reading was BACKWARDS - discard it)
  core_0         trigger=False fwdExtent=-0.033
  beam_1         trigger=False fwdExtent=0.266
  beam_2         trigger=False fwdExtent=0.265
  beam_3         trigger=False fwdExtent=-0.334
  beam_5         trigger=False fwdExtent=-0.035
  beam_6         trigger=False fwdExtent=0.566
  battery_7      trigger=False fwdExtent=-0.064
  spindleZP_9    trigger=False fwdExtent=0.867
  spinnerZP_10   trigger=False fwdExtent=0.967
  spinnerZP_10   trigger=True  fwdExtent=1.018
SOLID front-most spinnerZP_10 0.967 | TRIGGER front-most spinnerZP_10 1.018 | weapon proud by 0.051 m
