# RB2Probe cases=9 reps=6 seconds=24 toKO=False speed=3 fire=True
# LIVE CONSTANTS  tipSpeedCap m/s: ABS=9.00 Aluminum=9.68 Steel=12.50 Titanium=14.79 CarbonFiber=13.11 Tungsten=13.69  | MotorKW 0/1/2/3 eng 1.0/2.5/4.0/5.5  | DRIVE_KW_PER_TONNE 1.25 | LIFT_EFFICIENCY 0.85 | REACTION_FRAC 0.60 | GROUND_CLEAR 0.020 | BITE_RATE_FRAC 0.45 | EXPOSED_MULT 1.75 | STEP_DISP_CAP 0.25
# LIVE CONSTANTS (cycle) WIND_RELEASE_FRAC 0.995 | WIND_TIMEOUT_S 2.00 | BITE_TIP_SPEED_MS 4.00 | RECOVER_S 0.10 | PIVOT_RETURN_DPS 500 | MIN_BITE_E 40 | DRAIN_FRAC 0.40 | LIN_IMP_CAP 600 | EFFICIENCY 0.35 | RECUP_FRAC 0.90 | REACTION_STALL_MUL 3.0
# LIVE CONSTANTS (damage/judging) DMG_K 0.045 | HP_K 6000 | SHOVE_CAP 500 | PART_IMMUNITY 0.50 | RAM_MIN_J 150 | RAM_J_CAP 900 | STRUCT_BAND 0.060 | MIN_STRUCT_PARTS 2.0 | DRAW_BAND_FRAC 0.080 | CONTROL_BAND 0.100 | MATCH_TIME 90 | CREDIT_BUDGET 4000
# SOURCE REGIME 34ff221d (42 scripts, newest 2026-07-27 17:28:44Z)
SCOUT            r0 tier=Rookie   pol=afk    t=22.8 TIMEBOX    | pDealt     0 pTaken     0 | P[ram 0/0 limb 0/0] | E[ram 0/0 limb 0/0] | parts 13/13 vs 11/11 | dist 6.72 near 0.0s close 0.0s thr 0.72
SCOUT            r1 tier=Rookie   pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    19 | P[ram 0/0 limb 0/0] | E[ram 19/1 limb 0/0] | parts 13/13 vs 11/11 | dist 5.20 near 3.6s close 1.0s thr 0.69
SCOUT            r2 tier=Rookie   pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    23 | P[ram 0/0 limb 0/0] | E[ram 23/2 limb 0/0] | parts 13/13 vs 11/11 | dist 4.56 near 7.6s close 2.9s thr 0.74
SCOUT            r3 tier=Rookie   pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken     0 | P[ram 0/0 limb 0/0] | E[ram 0/0 limb 0/0] | parts 12/13 vs 10/11 | dist 5.86 near 3.5s close 2.0s thr 0.69
SCOUT            r4 tier=Rookie   pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    15 | P[ram 0/0 limb 0/0] | E[ram 15/2 limb 0/0] | parts 13/13 vs 11/11 | dist 5.29 near 4.2s close 2.5s thr 0.69
SCOUT            r5 tier=Rookie   pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken     0 | P[ram 0/0 limb 0/0] | E[ram 0/0 limb 0/0] | parts 13/13 vs 11/11 | dist 5.46 near 0.0s close 0.0s thr 0.73
TIPPER           r0 tier=Rookie   pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken     0 | P[ram 0/0 limb 0/0] | E[ram 0/0 limb 0/0] | parts 13/13 vs 13/13 | dist 5.15 near 0.0s close 0.0s thr 0.74
TIPPER           r1 tier=Rookie   pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken     0 | P[ram 0/0 limb 0/0] | E[ram 0/0 limb 0/0] | parts 13/13 vs 13/13 | dist 6.13 near 0.0s close 0.0s thr 0.75
TIPPER           r2 tier=Rookie   pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    14 | P[ram 0/0 limb 0/0] | E[ram 14/3 limb 0/0] | parts 13/13 vs 13/13 | dist 3.84 near 8.4s close 5.3s thr 0.70
TIPPER           r3 tier=Rookie   pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken     0 | P[ram 0/0 limb 0/0] | E[ram 0/0 limb 0/0] | parts 13/13 vs 13/13 | dist 4.33 near 2.9s close 1.0s thr 0.72
TIPPER           r4 tier=Rookie   pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken     0 | P[ram 0/0 limb 0/0] | E[ram 0/0 limb 0/0] | parts 13/13 vs 13/13 | dist 6.07 near 0.0s close 0.0s thr 0.75
TIPPER           r5 tier=Rookie   pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken     7 | P[ram 0/0 limb 0/0] | E[ram 7/2 limb 0/0] | parts 13/13 vs 13/13 | dist 4.09 near 7.0s close 3.5s thr 0.72
MAULER           r0 tier=Veteran  pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    19 | P[ram 0/0 limb 0/0] | E[ram 52/5 limb 0/0] | parts 13/13 vs 11/11 | dist 2.65 near 14.1s close 8.0s thr 0.78
MAULER           r1 tier=Veteran  pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    76 | P[ram 0/0 limb 0/0] | E[ram 76/4 limb 0/0] | parts 13/13 vs 11/11 | dist 3.42 near 9.1s close 4.0s thr 0.88
MAULER           r2 tier=Veteran  pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    11 | P[ram 0/0 limb 0/0] | E[ram 11/2 limb 0/0] | parts 13/13 vs 11/11 | dist 4.23 near 6.3s close 2.5s thr 0.88
MAULER           r3 tier=Veteran  pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    12 | P[ram 0/0 limb 0/0] | E[ram 12/1 limb 0/0] | parts 13/13 vs 11/11 | dist 3.14 near 12.0s close 8.6s thr 0.79
MAULER           r4 tier=Veteran  pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    16 | P[ram 0/0 limb 0/0] | E[ram 16/2 limb 0/0] | parts 13/13 vs 11/11 | dist 3.02 near 12.9s close 7.0s thr 0.79
MAULER           r5 tier=Veteran  pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken     2 | P[ram 0/0 limb 0/0] | E[ram 2/1 limb 0/0] | parts 13/13 vs 11/11 | dist 4.07 near 10.3s close 4.2s thr 0.84
RIPPER           r0 tier=Veteran  pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken     0 | P[ram 0/0 limb 0/0] | E[ram 0/0 limb 0/0] | parts 13/13 vs 13/13 | dist 4.38 near 0.1s close 0.0s thr 0.91
RIPPER           r1 tier=Veteran  pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    15 | P[ram 0/0 limb 0/0] | E[ram 15/2 limb 0/0] | parts 13/13 vs 13/13 | dist 3.63 near 11.1s close 1.7s thr 0.87
RIPPER           r2 tier=Veteran  pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken     0 | P[ram 0/0 limb 0/0] | E[ram 0/0 limb 0/0] | parts 13/13 vs 13/13 | dist 3.60 near 4.8s close 0.0s thr 0.90
RIPPER           r3 tier=Veteran  pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    30 | P[ram 0/0 limb 0/0] | E[ram 30/1 limb 0/0] | parts 13/13 vs 13/13 | dist 4.56 near 0.8s close 0.0s thr 0.92
RIPPER           r4 tier=Veteran  pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    77 | P[ram 0/0 limb 0/0] | E[ram 21/4 limb 56/2] | parts 13/13 vs 13/13 | dist 3.28 near 12.1s close 6.4s thr 0.86
RIPPER           r5 tier=Veteran  pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    11 | P[ram 0/0 limb 0/0] | E[ram 11/1 limb 0/0] | parts 13/13 vs 13/13 | dist 2.74 near 17.1s close 3.6s thr 0.85
BULWARK          r0 tier=Champion pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken     0 | P[ram 0/0 limb 0/0] | E[ram 0/0 limb 0/0] | parts 13/13 vs 13/13 | dist 4.54 near 0.2s close 0.0s thr 0.92
BULWARK          r1 tier=Champion pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken     0 | P[ram 0/0 limb 0/0] | E[ram 0/0 limb 0/0] | parts 13/13 vs 13/13 | dist 4.59 near 0.0s close 0.0s thr 0.93
