# RB2Probe cases=6 reps=6 seconds=24 toKO=False speed=3 fire=True
# LIVE CONSTANTS  tipSpeedCap m/s: ABS=9.00 Aluminum=9.68 Steel=12.50 Titanium=14.79 CarbonFiber=13.11 Tungsten=13.69  | MotorKW 0/1/2/3 eng 1.0/2.5/4.0/5.5  | DRIVE_KW_PER_TONNE 1.25 | LIFT_EFFICIENCY 0.85 | REACTION_FRAC 0.60 | GROUND_CLEAR 0.020 | BITE_RATE_FRAC 0.45 | EXPOSED_MULT 1.75 | STEP_DISP_CAP 0.25
# LIVE CONSTANTS (cycle) WIND_RELEASE_FRAC 0.995 | WIND_TIMEOUT_S 2.00 | BITE_TIP_SPEED_MS 4.00 | RECOVER_S 0.10 | PIVOT_RETURN_DPS 500 | MIN_BITE_E 40 | DRAIN_FRAC 0.40 | LIN_IMP_CAP 600 | EFFICIENCY 0.35 | RECUP_FRAC 0.90 | REACTION_STALL_MUL 3.0
# LIVE CONSTANTS (damage/judging) DMG_K 0.045 | HP_K 6000 | SHOVE_CAP 500 | PART_IMMUNITY 0.50 | RAM_MIN_J 150 | RAM_J_CAP 900 | STRUCT_BAND 0.060 | MIN_STRUCT_PARTS 2.0 | DRAW_BAND_FRAC 0.080 | CONTROL_BAND 0.100 | MATCH_TIME 90 | CREDIT_BUDGET 4000
# SOURCE REGIME 34ff221d (42 scripts, newest 2026-07-27 17:28:44Z)
MAULER_Roo       r0 tier=Rookie   pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    48 | P[ram 0/0 limb 0/0] | E[ram 48/4 limb 0/0] | parts 13/13 vs 11/11 | dist 2.82 near 9.0s close 2.9s thr 0.69
MAULER_Roo       r1 tier=Rookie   pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    79 | P[ram 0/0 limb 0/0] | E[ram 79/2 limb 0/0] | parts 13/13 vs 10/11 | dist 2.70 near 8.1s close 2.6s thr 0.70
MAULER_Roo       r2 tier=Rookie   pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    76 | P[ram 0/0 limb 0/0] | E[ram 76/4 limb 0/0] | parts 13/13 vs 11/11 | dist 2.37 near 11.7s close 6.2s thr 0.73
MAULER_Roo       r3 tier=Rookie   pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    82 | P[ram 0/0 limb 0/0] | E[ram 82/3 limb 0/0] | parts 13/13 vs 10/11 | dist 2.61 near 11.0s close 4.5s thr 0.69
MAULER_Roo       r4 tier=Rookie   pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    61 | P[ram 0/0 limb 0/0] | E[ram 61/3 limb 0/0] | parts 10/13 vs 10/11 | dist 3.49 near 8.0s close 2.6s thr 0.70
MAULER_Roo       r5 tier=Rookie   pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    25 | P[ram 0/0 limb 0/0] | E[ram 25/1 limb 0/0] | parts 13/13 vs 11/11 | dist 2.43 near 10.4s close 5.0s thr 0.66
MAULER_Vet       r0 tier=Veteran  pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken   106 | P[ram 0/0 limb 0/0] | E[ram 106/4 limb 0/0] | parts 13/13 vs 11/11 | dist 3.14 near 10.1s close 5.1s thr 0.84
MAULER_Vet       r1 tier=Veteran  pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    41 | P[ram 0/0 limb 0/0] | E[ram 41/1 limb 0/0] | parts 11/13 vs 11/11 | dist 3.67 near 2.9s close 1.0s thr 0.95
MAULER_Vet       r2 tier=Veteran  pol=afk    t=22.8 TIMEBOX    | pDealt     0 pTaken    25 | P[ram 0/0 limb 0/0] | E[ram 25/2 limb 0/0] | parts 13/13 vs 11/11 | dist 4.15 near 5.8s close 2.4s thr 0.85
MAULER_Vet       r3 tier=Veteran  pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    77 | P[ram 0/0 limb 0/0] | E[ram 77/4 limb 0/0] | parts 13/13 vs 11/11 | dist 2.72 near 12.1s close 6.1s thr 0.81
MAULER_Vet       r4 tier=Veteran  pol=afk    t=22.5 TIMEBOX    | pDealt     0 pTaken    19 | P[ram 0/0 limb 0/0] | E[ram 19/2 limb 0/0] | parts 13/13 vs 11/11 | dist 4.71 near 4.8s close 2.0s thr 0.90
