build: 17 parts, 911 kg, validate=OK

throttle  steer   speed m/s   yaw deg/s   turn radius m   180 deg in s
   t      speed m/s   yaw deg/s   radius m   steerScale
  0.5        1.60         0.5     999.00         0.90
  1.0        3.08        10.3      17.10         0.70
  1.6        4.14        13.1      18.08         0.57
  2.1        5.17        12.4      23.95         0.45
  2.6        5.00         9.4      30.36         0.47
  3.1        0.13         5.2       1.46         1.00
  3.6        0.00         0.1     999.00         1.00
  4.2        0.00         0.0     999.00         1.00
  4.7        0.00         0.0     999.00         1.00
  5.2        0.00         0.0     999.00         1.00
  5.7        0.00         0.0     999.00         1.00
  6.2        0.00         0.0     999.00         1.00
  6.8        0.00         0.0     999.00         1.00
  7.3        0.00         0.0     999.00         1.00
  7.8        0.00         0.0     999.00         1.00
  8.3        0.00         0.0     999.00         1.00
  8.8        0.00         0.0     999.00         1.00

PIVOT on the spot (throttle 0, full lock): 63.9 deg/s at 0.24 m/s
