#fmt3-disc
core|0.000,0.700,0.000|0|0.00,0.00,0.00|Aluminum
beam|-0.250,0.700,0.150|0|0.00,0.00,0.00|Aluminum
beam|0.250,0.700,0.150|0|0.00,0.00,0.00|Aluminum
beam|0.000,0.700,-0.250|90|0.00,0.00,0.00|Aluminum
engine|0.000,0.975,0.000|90|0.00,0.00,0.00|Aluminum
beam|0.325,1.125,0.000|180|0.00,0.00,0.00|Aluminum
beam|-0.325,1.125,0.000|180|0.00,0.00,0.00|Aluminum
beam|-0.450,0.700,-0.150|270|0.00,0.00,0.00|Aluminum
beam|0.450,0.700,-0.150|270|0.00,0.00,0.00|Aluminum
beam|-0.450,0.700,-0.750|0|0.00,0.00,0.00|Aluminum
beam|0.450,0.700,-0.750|0|0.00,0.00,0.00|Aluminum
beam|-0.250,0.700,-0.750|0|0.00,0.00,0.00|Aluminum
beam|-0.050,0.700,-0.750|0|0.00,0.00,0.00|Aluminum
beam|0.150,0.700,-0.750|0|0.00,0.00,0.00|Aluminum
beam|0.000,0.700,0.450|0|0.00,0.00,0.00|Aluminum
wheel|0.620,0.700,0.000|90|1.00,0.00,0.00|Rubber
wheel|0.620,0.700,-0.750|90|1.00,0.00,0.00|Rubber
wheel|-0.620,0.700,0.000|90|-1.00,0.00,0.00|Rubber
wheel|-0.620,0.700,-0.600|90|-1.00,0.00,0.00|Rubber
battery|0.000,0.975,-0.300|90|0.00,0.00,0.00|Aluminum
plate|-0.250,0.700,-1.080|180|0.00,0.00,0.00|Aluminum
plate|0.300,0.700,-1.080|180|0.00,0.00,0.00|Aluminum
spike|-0.100,0.700,-1.260|180|0.00,0.00,-1.00|Steel
spindle|0.000,0.700,0.900|0|0.00,0.00,1.00|Aluminum
spinner|0.000,0.700,1.100|0|0.00,0.00,1.00|Steel
