
=== Q [WAIT.3, TURN BY 180, WAIT1.0] -- MAX_DUR stall cap is 10 s
  * t=0.02 h=-1 s=-1 w=0.00,0.00,0.00,0.00 z=-4.01 cumYaw=0.0 wallD=3.27 wallB=180 enemyR=5.80
  * t=0.20 h=0 s=0 w=0.00,0.00,0.00,0.00 z=-4.01 cumYaw=0.0 wallD=3.27 wallB=180 enemyR=5.80
  * t=0.50 h=0 s=1 w=-0.70,0.70,-0.70,0.70 z=-4.01 cumYaw=0.0 wallD=3.27 wallB=180 enemyR=5.80
  * t=2.02 h=0 s=1 w=-0.70,0.70,-0.70,0.70 z=-3.87 cumYaw=44.1 wallD=3.32 wallB=138 enemyR=5.90
  * t=4.02 h=0 s=1 w=-0.70,0.70,-0.70,0.70 z=-2.92 cumYaw=126.4 wallD=3.90 wallB=56 enemyR=5.53
  * t=4.62 h=0 s=1 w=-0.59,0.59,-0.59,0.59 z=-2.67 cumYaw=151.3 wallD=4.07 wallB=31 enemyR=5.32
  * t=4.76 h=0 s=1 w=-0.48,0.48,-0.48,0.48 z=-2.63 cumYaw=156.8 wallD=4.10 wallB=25 enemyR=5.26
  * t=4.92 h=0 s=1 w=-0.37,0.37,-0.37,0.37 z=-2.60 cumYaw=162.3 wallD=4.13 wallB=20 enemyR=5.23
  * t=5.10 h=0 s=1 w=-0.26,0.26,-0.26,0.26 z=-2.57 cumYaw=167.5 wallD=4.15 wallB=14 enemyR=5.18
  * t=5.96 h=0 s=2 w=0.00,0.00,0.00,0.00 z=-2.54 cumYaw=179.8 wallD=4.19 wallB=1 enemyR=5.09
  * t=6.02 h=0 s=2 w=0.00,0.00,0.00,0.00 z=-2.53 cumYaw=180.1 wallD=4.19 wallB=0 enemyR=5.09
  * t=6.96 h=-1 s=-1 w=0.00,0.00,0.00,0.00 z=-2.53 cumYaw=180.5 wallD=4.19 wallB=-1 enemyR=5.08
  * t=7.02 h=0 s=0 w=0.00,0.00,0.00,0.00 z=-2.53 cumYaw=180.5 wallD=4.19 wallB=-1 enemyR=5.08
  * t=7.32 h=0 s=1 w=-0.70,0.70,-0.70,0.70 z=-2.53 cumYaw=180.5 wallD=4.19 wallB=-1 enemyR=5.08
  * t=8.02 h=0 s=1 w=-0.70,0.70,-0.70,0.70 z=-2.53 cumYaw=194.5 wallD=4.20 wallB=-13 enemyR=5.03
  * t=10.02 h=0 s=1 w=-0.70,0.70,-0.70,0.70 z=-3.21 cumYaw=273.1 wallD=3.83 wallB=-91 enemyR=5.13
  * t=11.44 h=0 s=1 w=-0.59,0.59,-0.59,0.59 z=-3.87 cumYaw=332.1 wallD=3.38 wallB=-151 enemyR=5.61
  * t=11.58 h=0 s=1 w=-0.48,0.48,-0.48,0.48 z=-3.91 cumYaw=337.5 wallD=3.35 wallB=-157 enemyR=5.64
  * t=11.74 h=0 s=1 w=-0.36,0.36,-0.36,0.36 z=-3.94 cumYaw=343.0 wallD=3.32 wallB=-162 enemyR=5.69
  * t=11.92 h=0 s=1 w=-0.26,0.26,-0.26,0.26 z=-3.97 cumYaw=348.1 wallD=3.31 wallB=-167 enemyR=5.71
