x	z	wallDist	fieldValid	escapeDeg	bearDeg	meanCmd	maxCmd	minCmd
6.000	6.000	1.003	1	-131.393	90.000	-0.264	0.471	-1.000
5.000	5.000	1.988	1	-135.358	0.000	-0.285	0.431	-1.000
4.000	4.000	2.988	1	-135.254	0.000	-0.284	0.432	-1.000
3.000	3.000	3.988	1	-135.219	0.000	-0.337	0.325	-1.000
2.000	2.000	4.988	1	-135.234	0.000	-0.286	0.217	-0.789
1.000	1.000	5.988	1	-135.372	0.000	-0.144	0.109	-0.397
0.500	0.500	6.488	1	-135.697	0.000	-0.073	0.055	-0.201
6.000	5.000	1.000	1	-103.905	90.000	-0.096	0.808	-1.000
5.000	6.000	1.068	1	-164.448	0.000	-0.620	-0.240	-1.000
6.000	3.000	1.000	1	-93.046	90.000	-0.021	0.957	-1.000
6.000	1.000	1.000	1	-90.710	90.000	-0.005	0.990	-1.000
6.000	0.000	1.000	1	-90.008	90.000	0.000	1.000	-1.000
4.000	3.900	3.000	1	-133.169	90.000	-0.274	0.453	-1.000
4.000	4.000	2.988	1	-135.254	0.000	-0.284	0.432	-1.000
4.000	4.100	2.888	1	-137.389	0.000	-0.294	0.411	-1.000
-4.000	4.000	2.988	1	135.254	0.000	-0.284	0.432	-1.000
-4.000	-4.000	3.000	1	45.253	-90.000	0.282	1.000	-0.437
4.000	-4.000	3.000	1	-45.253	90.000	0.282	1.000	-0.437
0.500	5.000	1.988	1	-178.629	0.000	-0.800	-0.752	-0.847
0.100	5.000	1.988	1	-179.729	0.000	-0.800	-0.791	-0.809
0.000	5.000	1.988	1	180.000	0.000	-0.800	-0.800	-0.800
-0.100	5.000	1.988	1	179.729	0.000	-0.800	-0.791	-0.809
-0.500	5.000	1.988	1	178.629	0.000	-0.800	-0.752	-0.847
0.000	0.000	6.988	0	0.000	0.000	0.000	0.000	0.000
0.050	0.050	6.938	0	0.000	0.000	0.000	0.000	0.000
0.100	0.000	6.900	1	-96.868	90.000	-0.002	0.023	-0.027
0.200	0.000	6.800	1	-93.442	90.000	-0.002	0.048	-0.052
5.000	0.000	2.000	1	-90.033	90.000	0.000	1.000	-1.000
4.000	0.000	3.000	1	-90.078	90.000	-0.001	0.999	-1.000
3.000	0.000	4.000	1	-90.153	90.000	-0.002	0.748	-0.752
2.000	0.000	5.000	1	-90.291	90.000	-0.002	0.498	-0.502
1.000	0.000	6.000	1	-90.663	90.000	-0.002	0.248	-0.252
0.500	0.000	6.500	1	-91.367	90.000	-0.002	0.123	-0.127
6.500	6.500	0.487	1	-137.200	0.000	-0.293	0.413	-1.000
6.500	0.000	0.500	1	-90.002	90.000	0.000	1.000	-1.000
