### B1_long_axis_80  start=4.50,0.00 yaw=0.00 pct=-80.00
t	x	z	wallDist	speed	cmd	escDeg
1.02	3.42	-0.22	3.48	2.37	-0.19	144.70
2.04	1.08	0.82	5.87	2.48	0.00	116.65
3.06	-0.71	1.74	5.27	0.73	0.40	-1.47
4.08	-1.14	0.73	5.88	1.45	0.06	-61.06
5.10	-1.17	-0.93	5.82	1.69	0.09	-76.27
6.12	0.03	-1.71	5.27	1.54	0.24	-14.82
7.14	0.66	-0.66	6.34	0.99	0.00	-8.65
8.16	0.41	0.16	6.58	0.84	0.02	-65.18
9.18	0.00	0.71	6.29	0.18	-0.15	-147.87
10.20	0.02	0.42	6.56	0.45	0.00	177.11
11.22	0.01	-0.02	6.99	0.41	0.00	0.00
12.24	-0.02	-0.21	6.80	0.06	0.03	-6.91
13.26	0.01	-0.11	6.90	0.10	0.00	-12.97
14.28	0.02	-0.01	6.98	0.10	0.00	0.00
15.30	0.04	0.08	6.91	0.05	-0.03	-165.44
16.32	0.03	0.07	6.91	0.02	0.00	-167.29
17.34	0.03	0.05	6.93	0.02	0.00	0.00
18.36	0.03	0.04	6.95	0.02	0.00	0.00
19.38	0.02	0.02	6.97	0.02	0.00	0.00
20.40	0.02	0.00	6.98	0.02	0.00	0.00
21.42	0.02	-0.01	6.98	0.01	0.00	0.00
22.44	0.02	-0.03	6.98	0.01	0.00	0.00
23.46	0.01	-0.04	6.97	0.01	0.00	0.00
24.48	0.01	-0.05	6.96	0.01	0.00	0.00
SUM B1_long_axis_80 band=5.24-6.99 flips=2 peak=2.58 t>=3m=0.80 t>=5m=1.70 endD=6.96
### C1_corner_80_yaw0  start=5.50,5.50 yaw=0.00 pct=-80.00
t	x	z	wallDist	speed	cmd	escDeg
0.52	5.28	4.83	1.66	2.19	-0.43	-174.02
1.04	4.26	3.91	2.67	2.95	-0.19	148.65
1.56	2.72	3.30	3.66	3.42	-0.10	142.70
2.08	0.96	2.66	4.24	3.73	-0.06	143.28
2.60	-0.73	1.70	5.24	3.75	-0.08	125.83
3.12	-2.12	0.35	4.96	3.64	-0.06	95.01
3.64	-2.69	-1.22	4.30	2.91	-0.27	129.23
4.16	-2.23	-2.26	4.71	1.76	-0.39	159.07
4.68	-1.40	-2.28	4.66	1.76	-0.20	-179.69
5.20	-0.69	-1.69	5.27	1.76	0.00	-171.85
5.72	-0.25	-0.97	5.96	1.53	0.00	-172.17
6.24	-0.01	-0.25	6.71	1.41	0.00	179.08
6.76	0.13	0.38	6.66	0.83	0.23	13.98
7.28	0.17	0.56	6.45	0.02	0.11	-0.88
7.80	0.12	0.46	6.54	0.32	0.03	-8.13
8.32	0.05	0.30	6.70	0.34	0.00	-13.83
8.84	-0.02	0.14	6.87	0.33	0.00	-32.55
9.36	-0.09	-0.02	6.91	0.31	-0.03	-125.43
9.88	-0.13	-0.11	6.87	0.09	-0.04	-160.21
10.40	-0.13	-0.12	6.87	0.04	-0.02	-168.63
10.92	-0.11	-0.10	6.88	0.05	0.00	-170.27
11.44	-0.09	-0.08	6.90	0.05	0.00	-169.42
11.96	-0.08	-0.06	6.91	0.05	0.00	-167.28
12.48	-0.06	-0.04	6.93	0.05	0.00	-163.82
13.00	-0.05	-0.02	6.94	0.04	0.00	0.00
13.52	-0.03	0.00	6.96	0.04	0.00	0.00
14.04	-0.02	0.01	6.97	0.04	0.00	0.00
14.56	-0.01	0.03	6.98	0.04	0.00	0.00
15.08	0.01	0.05	6.96	0.04	0.00	0.00
15.60	0.02	0.06	6.95	0.04	0.00	0.00
SUM C1_corner_80_yaw0 band=4.19-6.98 flips=1 peak=3.79 t>=3m=1.20 t>=5m=2.50 endD=6.94
### C2_corner_80_yaw225  start=5.50,5.50 yaw=225.00 pct=-80.00
t	x	z	wallDist	speed	cmd	escDeg
0.52	4.56	4.55	2.32	2.98	0.21	-0.03
1.04	3.33	3.33	3.63	3.50	0.00	-0.22
1.56	2.06	2.07	4.85	3.38	0.00	-0.36
2.08	0.84	0.85	6.11	3.26	0.00	-0.77
2.60	-0.33	-0.31	6.74	2.80	-0.63	-177.39
3.12	-0.89	-0.87	6.12	0.61	-0.31	178.61
3.64	-0.90	-0.89	6.09	0.36	-0.11	178.15
4.16	-0.68	-0.70	6.27	0.65	-0.02	178.22
4.68	-0.44	-0.48	6.51	0.63	0.00	177.38
5.20	-0.21	-0.25	6.72	0.61	0.00	174.78
5.72	0.01	-0.04	6.93	0.58	0.00	0.00
6.24	0.19	0.14	6.82	0.28	0.09	8.15
6.76	0.23	0.18	6.78	0.03	0.04	1.79
7.28	0.19	0.15	6.82	0.12	0.00	-1.04
7.80	0.14	0.11	6.87	0.12	0.00	-2.54
8.32	0.09	0.08	6.91	0.11	0.00	-4.21
8.84	0.05	0.04	6.96	0.11	0.00	0.00
9.36	0.00	0.01	6.99	0.10	0.00	0.00
9.88	-0.04	-0.02	6.95	0.10	0.00	0.00
10.40	-0.08	-0.05	6.91	0.05	-0.03	-175.28
10.92	-0.08	-0.05	6.91	0.02	0.00	-175.85
11.44	-0.07	-0.04	6.92	0.02	0.00	-175.68
11.96	-0.07	-0.04	6.92	0.02	0.00	-175.35
12.48	-0.06	-0.03	6.93	0.01	0.00	0.00
13.00	-0.05	-0.03	6.94	0.01	0.00	0.00
13.52	-0.05	-0.02	6.94	0.01	0.00	0.00
14.04	-0.04	-0.02	6.95	0.01	0.00	0.00
14.56	-0.04	-0.02	6.95	0.01	0.00	0.00
15.08	-0.03	-0.01	6.96	0.01	0.00	0.00
15.60	-0.03	-0.01	6.96	0.01	0.00	0.00
SUM C2_corner_80_yaw225 band=5.88-6.99 flips=2 peak=3.52 t>=3m=0.84 t>=5m=1.64 endD=6.97
### C3_corner_80_yaw45  start=5.50,5.50 yaw=45.00 pct=-80.00
t	x	z	wallDist	speed	cmd	escDeg
0.52	4.67	4.68	2.23	2.86	-0.24	-179.98
1.04	3.47	3.47	3.47	3.52	0.00	-179.76
1.56	2.20	2.19	4.70	3.39	0.00	-179.60
2.08	0.98	0.96	5.87	3.27	0.00	-179.25
2.60	-0.19	-0.22	6.83	3.16	0.66	-4.89
3.12	-0.85	-0.88	6.15	0.79	0.34	1.61
3.64	-0.92	-0.93	6.08	0.29	0.13	2.37
4.16	-0.75	-0.72	6.24	0.64	0.03	2.27
4.68	-0.52	-0.48	6.46	0.63	0.00	3.09
5.20	-0.30	-0.24	6.70	0.61	0.00	6.33
5.72	-0.09	-0.02	6.91	0.59	0.00	27.74
6.24	0.10	0.17	6.82	0.34	-0.10	168.05
6.76	0.16	0.22	6.77	0.01	-0.05	176.88
7.28	0.13	0.18	6.80	0.13	0.00	-179.78
7.80	0.09	0.13	6.86	0.12	0.00	-178.20
8.32	0.06	0.08	6.91	0.12	0.00	-177.06
8.84	0.02	0.03	6.96	0.11	0.00	0.00
9.36	-0.01	-0.02	6.99	0.11	0.00	0.00
9.88	-0.04	-0.07	6.95	0.11	0.00	0.00
10.40	-0.06	-0.10	6.91	0.02	0.02	-2.53
10.92	-0.06	-0.10	6.91	0.02	0.00	-2.33
11.44	-0.05	-0.09	6.92	0.02	0.00	-2.40
11.96	-0.05	-0.08	6.93	0.01	0.00	0.00
12.48	-0.05	-0.08	6.93	0.01	0.00	0.00
13.00	-0.04	-0.07	6.94	0.01	0.00	0.00
13.52	-0.04	-0.07	6.94	0.01	0.00	0.00
14.04	-0.03	-0.06	6.95	0.01	0.00	0.00
14.56	-0.03	-0.05	6.96	0.01	0.00	0.00
15.08	-0.03	-0.05	6.96	0.01	0.00	0.00
15.60	-0.02	-0.04	6.97	0.01	0.00	0.00
SUM C3_corner_80_yaw45 band=5.78-7.00 flips=2 peak=3.52 t>=3m=0.90 t>=5m=1.70 endD=6.97
### D1_axis_25  start=5.50,0.00 yaw=0.00 pct=-25.00
t	x	z	wallDist	speed	cmd	escDeg
1.02	5.09	-0.03	1.86	1.01	-0.15	141.92
2.04	3.51	0.29	3.44	2.00	-0.09	-160.40
3.06	1.33	-0.06	5.57	2.15	0.00	-179.26
4.08	-0.72	-0.13	6.40	1.72	0.14	-12.99
5.10	-1.75	-0.11	5.27	0.35	0.13	2.96
6.12	-1.58	-0.11	5.41	0.56	0.07	-4.32
7.14	-0.82	-0.10	6.18	0.82	0.00	-0.07
8.16	-0.01	-0.02	6.97	0.76	0.00	0.00
9.18	0.56	0.04	6.45	0.31	-0.05	178.52
10.20	0.64	0.06	6.35	0.11	-0.03	178.45
11.22	0.40	0.04	6.57	0.30	-0.01	179.33
12.24	0.11	0.02	6.87	0.28	0.00	177.30
13.26	-0.16	-0.01	6.86	0.23	0.02	3.20
14.28	-0.28	-0.02	6.73	0.03	0.02	0.31
15.30	-0.24	-0.02	6.77	0.09	0.01	-0.38
16.32	-0.16	-0.01	6.85	0.08	0.00	-0.61
17.34	-0.08	-0.01	6.93	0.07	0.00	0.00
18.36	-0.01	0.00	7.00	0.07	0.00	0.00
19.38	0.06	0.00	6.93	0.06	0.00	0.00
SUM D1_axis_25 band=3.36-7.00 flips=1 peak=2.23 t>=3m=1.84 t>=5m=2.80 endD=6.89
### D2_corner_25  start=5.00,5.00 yaw=45.00 pct=-25.00
t	x	z	wallDist	speed	cmd	escDeg
1.02	4.09	4.10	2.84	1.94	-0.13	-179.86
2.04	2.40	2.40	4.55	2.51	0.00	180.00
3.06	0.65	0.65	6.27	2.34	0.00	179.93
4.08	-0.85	-0.85	6.22	1.54	0.15	-0.02
5.10	-1.49	-1.48	5.52	0.31	0.11	0.02
6.12	-1.39	-1.39	5.60	0.48	0.06	0.00
7.14	-0.91	-0.90	6.09	0.78	0.01	-0.04
8.16	-0.37	-0.37	6.62	0.72	0.00	-0.11
9.18	0.13	0.13	6.88	0.62	-0.05	-179.63
10.20	0.43	0.42	6.57	0.21	-0.04	179.91
11.22	0.46	0.45	6.53	0.09	-0.02	179.95
12.24	0.33	0.33	6.66	0.21	-0.01	179.97
13.26	0.18	0.18	6.80	0.20	0.00	179.94
14.28	0.04	0.04	6.94	0.19	0.00	0.00
15.30	-0.09	-0.09	6.92	0.16	0.01	0.16
16.32	-0.16	-0.15	6.85	0.04	0.01	0.04
17.34	-0.16	-0.16	6.85	0.01	0.01	0.00
18.36	-0.16	-0.16	6.84	0.00	0.01	-0.02
19.38	-0.17	-0.16	6.84	0.00	0.01	-0.02
SUM D2_corner_25 band=4.48-7.00 flips=1 peak=2.53 t>=3m=1.14 t>=5m=2.30 endD=6.84
### D3_axis_15  start=5.50,0.00 yaw=270.00 pct=-15.00
t	x	z	wallDist	speed	cmd	escDeg
1.02	4.67	-0.01	2.29	1.32	0.10	0.03
2.04	2.91	-0.01	4.07	2.02	0.03	0.02
3.06	0.83	0.00	6.11	1.98	0.00	0.20
4.08	-1.05	0.00	6.03	1.53	-0.09	-179.86
5.10	-2.13	0.00	4.87	0.59	-0.10	179.85
6.12	-2.27	0.00	4.71	0.25	-0.08	-179.92
7.14	-1.71	0.00	5.26	0.78	-0.04	179.97
8.16	-0.81	0.00	6.14	0.90	0.00	179.93
9.18	0.07	0.00	6.99	0.84	0.00	0.00
10.20	0.76	0.00	6.27	0.48	0.05	-0.10
11.22	1.03	0.00	5.99	0.07	0.04	0.00
12.24	0.92	0.00	6.08	0.24	0.03	0.02
13.26	0.58	0.00	6.41	0.38	0.01	0.00
14.28	0.21	0.00	6.78	0.35	0.00	0.04
15.30	-0.13	0.00	6.86	0.31	-0.02	179.93
16.32	-0.36	0.00	6.63	0.14	-0.02	180.00
17.34	-0.42	0.00	6.57	0.02	-0.02	-180.00
