parts=10 driveDir=(0.00, 0.00, 1.00)
### Z_ctrl_axis start=4.50,0.00 yaw=0.00 pct=-80.00
t	x	z	wallDist	speed	cmd	escDeg	vTrue	vRunner
1.02	3.47	-0.23	3.48	2.35	-0.20	144.70	2.34	2.34
2.04	1.12	0.80	5.78	2.48	0.00	120.24	1.26	1.26
3.06	-0.69	1.75	5.27	0.77	0.42	-1.47	-0.24	-0.24
4.08	-1.13	0.76	5.88	1.44	0.06	-61.06	0.53	0.53
5.10	-1.18	-0.89	5.80	1.69	0.08	-77.99	-0.68	-0.68
6.12	0.00	-1.72	5.27	1.55	0.24	-14.82	0.46	0.46
7.14	0.66	-0.68	6.30	1.00	0.00	-7.46	0.72	0.72
8.16	0.42	0.15	6.58	0.84	0.02	-65.18	0.18	0.18
9.18	0.00	0.71	6.29	0.21	-0.15	-147.87	-0.15	-0.15
10.20	0.02	0.42	6.54	0.45	0.00	177.62	0.45	0.45
11.22	0.01	-0.01	6.99	0.41	0.00	0.00	-0.41	-0.41
12.24	-0.02	-0.21	6.80	0.05	0.03	-6.91	0.05	0.05
13.26	0.01	-0.11	6.90	0.10	0.00	-12.97	0.10	0.10
14.28	0.02	-0.01	6.98	0.10	0.00	0.00	0.10	0.10
15.30	0.04	0.08	6.91	0.06	-0.03	-164.80	-0.05	-0.05
16.32	0.04	0.07	6.91	0.02	0.00	-167.29	0.02	0.02
17.34	0.03	0.05	6.93	0.02	0.00	0.00	-0.02	-0.02
18.36	0.03	0.04	6.95	0.02	0.00	0.00	-0.02	-0.02
19.38	0.02	0.02	6.97	0.02	0.00	0.00	-0.02	-0.02
SUM Z_ctrl_axis band=5.24-6.99 flips=2 peak=2.58 endD=6.97
parts=10 driveDir=(1.00, 0.00, 0.00)
### X_axisX start=4.50,0.00 yaw=0.00 pct=-80.00
t	x	z	wallDist	speed	cmd	escDeg	vTrue	vRunner
1.02	0.12	0.01	6.75	6.20	-0.11	177.34	6.19	-0.29
2.04	-4.64	0.03	2.44	1.80	0.80	-0.11	-1.80	0.00
3.06	-2.69	0.02	4.00	5.29	0.60	0.00	5.29	0.00
4.08	3.51	-0.01	3.58	4.94	-0.68	179.83	-4.94	0.01
5.10	4.95	-0.02	1.96	2.05	-0.80	179.77	2.05	-0.01
6.12	-0.38	0.01	6.77	7.06	0.09	1.69	-7.05	-0.21
7.14	-5.47	0.03	1.62	1.80	0.80	-0.21	-1.80	0.01
8.16	-3.50	0.02	3.18	5.50	0.77	-0.09	5.50	-0.01
9.18	3.52	-0.01	3.59	6.08	-0.68	179.82	-6.08	0.02
10.20	5.14	-0.05	1.73	3.01	-0.79	-179.19	3.01	0.07
11.22	-0.90	-0.18	6.26	7.05	0.00	-11.33	-6.91	1.42
12.24	-5.89	-0.31	1.18	1.61	0.80	2.04	-1.61	-0.02
13.26	-3.03	-0.27	3.60	6.38	0.72	-2.17	6.38	-0.20
14.28	4.45	-0.19	2.64	5.45	-0.80	-178.67	-5.44	-0.14
15.30	4.33	-0.21	2.48	4.49	-0.77	-177.98	4.49	0.15
16.32	-2.20	-0.35	4.94	6.65	0.25	-6.59	-6.60	0.78
17.34	-5.99	-0.44	1.02	0.05	0.80	1.50	-0.05	-0.01
18.36	-2.28	-0.34	4.32	7.05	0.63	-3.86	7.03	-0.47
19.38	5.00	-0.14	2.07	4.59	-0.80	-178.07	-4.59	-0.16
SUM X_axisX band=1.02-6.98 flips=8 peak=8.54 endD=1.58
parts=10 driveDir=(1.00, 0.00, 0.00)
### X_axisZ start=0.00,4.50 yaw=0.00 pct=-80.00
t	x	z	wallDist	speed	cmd	escDeg	vTrue	vRunner
1.02	0.04	4.50	2.50	0.03	0.00	90.00	0.00	0.03
2.04	0.07	4.50	2.50	0.02	0.00	90.11	0.00	0.02
3.06	0.08	4.50	2.50	0.00	0.00	90.17	0.00	0.00
4.08	0.08	4.50	2.50	0.01	0.00	90.16	0.00	-0.01
5.10	0.07	4.50	2.50	0.02	0.00	90.11	0.00	-0.02
6.12	0.05	4.50	2.50	0.02	0.00	90.03	0.00	-0.02
7.14	0.03	4.50	2.50	0.02	0.00	89.93	0.00	-0.02
8.16	0.01	4.50	2.50	0.01	0.00	89.86	0.00	-0.01
9.18	0.00	4.50	2.50	0.00	0.00	89.82	0.00	0.00
10.20	0.01	4.50	2.50	0.01	0.00	89.84	0.00	0.01
11.22	0.03	4.50	2.50	0.03	0.00	89.94	0.00	0.03
12.24	0.06	4.50	2.50	0.03	0.00	90.07	0.00	0.03
13.26	0.08	4.50	2.50	0.01	0.00	90.17	0.00	0.01
14.28	0.08	4.50	2.50	0.00	0.00	90.18	0.00	0.00
15.30	0.07	4.50	2.50	0.01	0.00	90.14	0.00	-0.01
16.32	0.05	4.50	2.50	0.02	0.00	90.06	0.00	-0.02
17.34	0.03	4.50	2.50	0.02	0.00	89.96	0.00	-0.02
18.36	0.01	4.50	2.50	0.02	0.00	89.87	0.00	-0.02
19.38	0.00	4.50	2.50	0.01	0.00	89.82	0.00	-0.01
SUM X_axisZ band=2.50-2.50 flips=0 peak=0.05 endD=2.50
parts=10 driveDir=(1.00, 0.00, 0.00)
### X_corner start=5.50,5.50 yaw=0.00 pct=-80.00
t	x	z	wallDist	speed	cmd	escDeg	vTrue	vRunner
1.02	3.98	5.50	1.50	2.18	-0.10	103.78	0.52	-2.12
2.04	1.47	5.51	1.49	2.62	-0.02	92.32	0.11	-2.62
3.06	-1.23	5.52	1.48	2.63	0.01	88.04	-0.09	-2.63
4.08	-3.78	5.53	1.47	2.30	0.07	79.93	-0.40	-2.26
5.10	-5.52	5.54	1.46	0.82	0.28	46.45	-0.57	-0.60
6.12	-4.93	5.54	1.46	1.92	0.22	61.97	0.90	1.69
7.14	-2.44	5.53	1.47	2.68	0.02	85.00	0.23	2.67
8.16	0.36	5.52	1.48	2.77	0.00	90.16	-0.01	2.77
9.18	3.15	5.50	1.49	2.66	-0.03	96.56	-0.30	2.64
10.20	5.46	5.50	1.50	1.45	-0.34	133.02	-0.99	1.06
11.22	5.34	5.50	1.50	1.56	-0.27	131.67	1.04	-1.16
12.24	2.93	5.51	1.49	2.80	-0.05	96.57	0.32	-2.78
13.26	-0.05	5.52	1.48	2.97	0.00	89.90	-0.01	-2.97
14.28	-3.02	5.53	1.47	2.80	0.04	83.82	-0.30	-2.78
15.30	-5.46	5.54	1.46	1.69	0.26	49.52	-1.10	-1.29
16.32	-5.59	5.54	1.36	1.52	0.35	40.57	1.15	0.99
17.34	-3.05	5.53	1.47	2.89	0.03	82.81	0.36	2.87
18.36	-0.02	5.52	1.48	3.00	0.00	89.58	0.02	3.00
19.38	3.02	5.51	1.49	2.93	-0.02	95.97	-0.30	2.91
SUM X_corner band=1.05-1.50 flips=4 peak=3.00 endD=1.50
